Sr. No.,Structure Name/Gate No,Division,Circle,Zone,Inspection Year,Inspection Type,Issue/Problem,Recommendation,"Rectification/
Action Taken",Condition,Domain,Latitude ,Longitude,Inspection Type Inspection Year
11,Main Weir-11,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572222,72.15767,Closure 2022-2023
12,Main Weir-12,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572234,72.157595,Closure 2022-2023
13,Main Weir-13,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571865,72.15741,Closure 2022-2023
14,Main Weir-14,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571882,72.157413,Closure 2022-2023
15,Main Weir-15,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.5718,72.157399,Closure 2022-2023
16,SMB Link Canal-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571539,72.157563,Closure 2022-2023
17,SMB Link Canal-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571542,72.157565,Closure 2022-2023
18,SMB Link Canal-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571538,72.157594,Closure 2022-2023
19,SMB Link Canal-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571464,72.157632,Closure 2022-2023
20,SMB Link Canal-5,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571459,72.157686,Closure 2022-2023
21,SMB Link Canal-6,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571425,72.157685,Closure 2022-2023
22,SMB Link Canal-7,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571428,72.157709,Closure 2022-2023
23,SMB Link Canal-8,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571409,72.157804,Closure 2022-2023
24,SMB Link Canal-9,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571066,72.158622,Closure 2022-2023
25,SMB Link Canal-10,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571116,72.158728,Closure 2022-2023
26,Sidhnai Canal-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571571,72.15748,Closure 2022-2023
27,Sidhnai Canal-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571553,72.157553,Closure 2022-2023
28,Sidhnai Canal-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571561,72.157546,Closure 2022-2023
29,Sidhnai Canal-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571541,72.157546,Closure 2022-2023
30,Generator,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Generator was old and not equipped with the self-start mechanism. Generator’s room was dusty and lighting arrangements were also poor.,Generator & changeover system should be modified / upgraded.,,N.M,E&I,30.571479,72.156842,Closure 2022-2023
31,Main Weir-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.57342,72.158104,Closure 2023-2024
32,Main Weir-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.57336,72.158113,Closure 2023-2024
33,Main Weir-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.573197,72.158026,Closure 2023-2024
34,Main Weir-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.573032,72.157996,Closure 2023-2024
35,Main Weir-5,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572878,72.157875,Closure 2023-2024
36,Main Weir-6,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572649,72.157785,Closure 2023-2024
37,Main Weir-7,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572637,72.157779,Closure 2023-2024
38,Main Weir-8,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572585,72.157785,Closure 2023-2024
39,Main Weir-9,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572883,72.157192,Closure 2023-2024
40,Main Weir-10,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572293,72.157586,Closure 2023-2024
41,Main Weir-11,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572222,72.15767,Closure 2023-2024
42,Main Weir-12,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572234,72.157595,Closure 2023-2024
43,Main Weir-13,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571865,72.15741,Closure 2023-2024
44,Main Weir-14,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571882,72.157413,Closure 2023-2024
45,Main Weir-15,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.5718,72.157399,Closure 2023-2024
46,SMB Link Canal-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571539,72.157563,Closure 2023-2024
47,SMB Link Canal-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571542,72.157565,Closure 2023-2024
48,SMB Link Canal-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571538,72.157594,Closure 2023-2024
49,SMB Link Canal-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571464,72.157632,Closure 2023-2024
50,SMB Link Canal-5,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571459,72.157686,Closure 2023-2024
51,SMB Link Canal-6,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571425,72.157685,Closure 2023-2024
52,SMB Link Canal-7,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571428,72.157709,Closure 2023-2024
53,SMB Link Canal-8,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571409,72.157804,Closure 2023-2024
54,SMB Link Canal-9,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571066,72.158622,Closure 2023-2024
55,SMB Link Canal-10,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571116,72.158728,Closure 2023-2024
56,Sidhnai Canal-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571571,72.15748,Closure 2023-2024
57,Sidhnai Canal-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571553,72.157553,Closure 2023-2024
58,Sidhnai Canal-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571561,72.157546,Closure 2023-2024
59,Sidhnai Canal-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571541,72.157546,Closure 2023-2024
60,Generator,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2023-2024,Closure,Generator was old and not equipped with the self-start mechanism. Generator’s room was dusty and lighting arrangements were also poor.,Generator & changeover system should be modified / upgraded.,,N.M,E&I,30.571479,72.156842,Closure 2023-2024
61,Main Weir-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.57342,72.158104,Closure 2024-2025
62,Main Weir-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.57336,72.158113,Closure 2024-2025
63,Main Weir-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.573197,72.158026,Closure 2024-2025
64,Main Weir-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.573032,72.157996,Closure 2024-2025
65,Main Weir-5,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572878,72.157875,Closure 2024-2025
66,Main Weir-6,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572649,72.157785,Closure 2024-2025
67,Main Weir-7,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572637,72.157779,Closure 2024-2025
68,Main Weir-8,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572585,72.157785,Closure 2024-2025
69,Main Weir-9,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572883,72.157192,Closure 2024-2025
70,Main Weir-10,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572293,72.157586,Closure 2024-2025
71,Main Weir-11,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572222,72.15767,Closure 2024-2025
72,Main Weir-12,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572234,72.157595,Closure 2024-2025
73,Main Weir-13,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571865,72.15741,Closure 2024-2025
74,Main Weir-14,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571882,72.157413,Closure 2024-2025
75,Main Weir-15,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.5718,72.157399,Closure 2024-2025
76,SMB Link Canal-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571539,72.157563,Closure 2024-2025
77,SMB Link Canal-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571542,72.157565,Closure 2024-2025
78,SMB Link Canal-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571538,72.157594,Closure 2024-2025
79,SMB Link Canal-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571464,72.157632,Closure 2024-2025
80,SMB Link Canal-5,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571459,72.157686,Closure 2024-2025
81,SMB Link Canal-6,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571425,72.157685,Closure 2024-2025
82,SMB Link Canal-7,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571428,72.157709,Closure 2024-2025
83,SMB Link Canal-8,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571409,72.157804,Closure 2024-2025
84,SMB Link Canal-9,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571066,72.158622,Closure 2024-2025
85,SMB Link Canal-10,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571116,72.158728,Closure 2024-2025
86,Sidhnai Canal-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571571,72.15748,Closure 2024-2025
87,Sidhnai Canal-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571553,72.157553,Closure 2024-2025
88,Sidhnai Canal-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571561,72.157546,Closure 2024-2025
89,Sidhnai Canal-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,No ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.571541,72.157546,Closure 2024-2025
90,Generator,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2024-2025,Closure,Generator was old and not equipped with the self-start mechanism. Generator’s room was dusty and lighting arrangements were also poor.,Generator & changeover system should be modified / upgraded.,,N.M,E&I,30.571479,72.156842,Closure 2024-2025
91,TS Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.144675,72.150931,Closure 2022-2023
92,TS Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,Ampere meter in LCP at TS Link Canal on gate no. 02 had zero error.,Zero error in ampere meters should be rectified. ,,N.M,E&I,31.145454,72.151678,Closure 2022-2023
93,TS Canal-8,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,electric motor at gate no. 08 of TS Link head regulator was not operational due to electrical panel fault.,Nonoperational electric motor  due to faulty LCP should be addressed. ,,N.M,E&I,31.144924,72.151564,Closure 2022-2023
94,TS Canal-9,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.144882,72.151535,Closure 2022-2023
95,TS Canal-10,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.144858,72.151536,Closure 2022-2023
96,Haveli Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.144368,72.151407,Closure 2022-2023
97,Haveli Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.14432,72.151338,Closure 2022-2023
98,Rangpur Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146344,72.138818,Closure 2022-2023
99,Rangpur Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146448,72.138885,Closure 2022-2023
100,Main Weir-23,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.14495,72.145541,Closure 2022-2023
101,Main Weir-52,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.145792,72.141296,Closure 2022-2023
102,Main Weir-54,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.145839,72.141241,Closure 2022-2023
103,Main Weir-56,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146131,72.140491,Closure 2022-2023
104,Main Weir-57,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,Ampere meter in LCP at main weir on gate no. 57 had zero error.,Zero error in ampere meters should be rectified. ,,N.M,E&I,31.146075,72.140297,Closure 2022-2023
105,Main Weir-58,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146098,72.140267,Closure 2022-2023
106,Main Weir-60,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,Panel light was fused. ,Panel light should be replaced.,,N.M,E&I,31.14611,72.139653,Closure 2022-2023
107,Main Weir-61,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146182,72.139581,Closure 2022-2023
108,Main Weir-63,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146254,72.138997,Closure 2022-2023
